Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Link,Digi-key Part Number,Purchasing Link
32,Single channel positive logic NOR gate,SN74LVC1G02,U5 U6,SN74LVC1G02,SOT-23-5_OEM,2,http://www.ti.com/lit/ds/symlink/sn74lvc1g02.pdf,,296-11598-1-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G02DCKR/296-11598-1-ND/385737,,,
33,Single channel positive logic AND gate,SN74LVC1G08,U1,SN74LVC1G08,SOT-23-5_OEM,1,http://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf,,296-11602-1-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G08DCKR/296-11602-1-ND/385741,,,
34,Single Channel OR Gate SOT-23-5,SN74LVC1G32,U8,SN74LVC1G32,SOT-23-5_OEM,1,http://www.ti.com/lit/ds/symlink/sn74lvc1g32.pdf,,SN74LVC1G32DBVR,DK,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G32DBVR/296-9847-1-ND/380102,,,
35,,TPS560430YF,U101,TPS560430YF,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps560430.pdf,,TPS560430YFDBVR,TPS560430YFDBVR-ND,,,,https://www.digikey.com/product-detail/en/texas-instruments/TPS560430XDBVR/296-50420-6-ND/9685813
36,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,,





Component Groups:,36
Component Count:,84
Fitted Components:,84
Number of PCBs:,1
Total components:,84
Schematic Version:,
Schematic Date:,
BoM Date:,Thu 13 Feb 2020 03:32:54 PM EST
Schematic Source:,/home/manu/Desktop/Formula/MKV-Boards/Boards/BSPD_Brakelight/Brakelight_Shutdown_BSPD.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1
