Reference, Value, Footprint, Datasheet, MFN, MPN, PurchasingLink, Digi-key Part Number, Link, Purchasing Link
"R904","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R902","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R901","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U901","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R907","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C901","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R903","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1006","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R1005","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1004","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1002","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1001","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U1001","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R1007","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C1001","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R1003","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1106","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R1105","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1104","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1102","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1101","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U1101","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R1107","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C1101","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R1103","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1206","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R1205","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1204","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1202","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1201","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U1201","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R1207","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C1201","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R1203","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1306","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R1305","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1304","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1302","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1301","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U1301","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R1307","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C1301","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R1303","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1406","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"R1405","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1404","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1402","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"R1401","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
"U1401","MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499","","",""
"R1407","R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568","DK","RNCP0805FTD4K99CT-ND ","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591","","",""
"C1401","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
"R1403","R_120","footprints:R_0805_OEM","https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf","DK","667-ERJ-6ENF1200V","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d","","",""
